Original_Gene_ID,Importance_SHAP
TraesCS4B02G215900,0.005704349107243336
TraesCS5D02G286200,0.005630381781464586
TraesCS2B02G364400,0.005223680001038771
TraesCS4A02G055400,0.004679604317061603
TraesCS2B02G194400,0.00464697449038235
TraesCS4B02G200300,0.004287544682693596
TraesCS7B02G166700,0.00426553499374467
TraesCS2A02G010100,0.0041874864120752765
TraesCS4A02G185200,0.004174809334262346
TraesCS7B02G175100,0.004151537285696787
TraesCS2A02G233400,0.004103714931541338
TraesCS5B02G104600,0.003976739104053615
TraesCS1B02G167100,0.003948261764330359
TraesCS2A02G272600,0.003908984555612103
TraesCS2A02G280000,0.003869555603999358
TraesCS1A02G177400,0.0038389984401874244
TraesCS2B02G244400,0.00378096412616567
TraesCS2A02G261600,0.003736291946289874
TraesCS1A02G044800,0.00371600314303158
TraesCS7A02G519600,0.0037041386105836583
TraesCS5D02G211900,0.0036967156562381065
TraesCS3A02G214300,0.003693018423151583
TraesCS5B02G476700,0.0036823288313686275
TraesCS7D02G222300,0.0036533584464520505
TraesCS2D02G183100,0.003650055468404809
TraesCS2D02G295500,0.0036287225795184406
TraesCS2B02G189900,0.003620590373219994
TraesCS7B02G245300,0.0036005278995547155
TraesCS7D02G494400,0.0035664965488159885
TraesCS1D02G399000,0.003555582287775066
