Original_Gene_ID,Mean_Abs_SHAP
HORVUMOREXr35HG0495580,0.005978413677366916
HORVUMOREXr31HG0080260,0.005113675266329665
HORVUMOREXr31HG0069750,0.005000425641628681
HORVUMOREXr31HG0034640,0.004843243981304113
HORVUMOREXr35HG0526200,0.004829155680490658
HORVUMOREXr31HG0005750,0.0046875418819399784
HORVUMOREXr35HG0513490,0.004624252326902933
HORVUMOREXr32HG0108200,0.004570245987561066
HORVUMOREXr34HG0389410,0.004380292373243719
HORVUMOREXr34HG0354250,0.00431418456370011
HORVUMOREXr32HG0176390,0.004305677551310509
HORVUMOREXr31HG0081820,0.0042517717624286884
HORVUMOREXr32HG0136460,0.004142439240240492
HORVUMOREXr32HG0119590,0.0040826377357007
HORVUMOREXr32HG0132590,0.004064785225200467
HORVUMOREXr32HG0111290,0.0040569496536772935
HORVUMOREXr33HG0271660,0.004039507794659585
HORVUMOREXr35HG0488440,0.0040253161767032
HORVUMOREXr31HG0034590,0.004022676616441459
HORVUMOREXr33HG0299540,0.0040018379070534136
HORVUMOREXr34HG0406990,0.003986248594337667
HORVUMOREXr34HG0389120,0.0039546357139988685
HORVUMOREXr33HG0280900,0.003943911126443708
HORVUMOREXr33HG0248440,0.003935163512614963
HORVUMOREXr33HG0254020,0.0039279894976061765
HORVUMOREXr35HG0470650,0.0038897472294047476
HORVUMOREXr33HG0236750,0.0038794858959590784
HORVUMOREXr32HG0111130,0.0038137771669426003
HORVUMOREXr33HG0287530,0.003796875635289325
HORVUMOREXr35HG0478950,0.003766600516246399
HORVUMOREXr33HG0280320,0.00372482752558426
HORVUMOREXr35HG0528510,0.003715389941298781
HORVUMOREXr33HG0278710,0.0037069507414707915
HORVUMOREXr35HG0510440,0.0036945968779036773
HORVUMOREXr34HG0413790,0.0036944474495976464
HORVUMOREXr31HG0090370,0.0036874873409396968
HORVUMOREXr31HG0022350,0.0036732554258196615
HORVUMOREXr32HG0113380,0.0036683163077395873
HORVUMOREXr34HG0382110,0.003644473470048979
HORVUMOREXr32HG0199010,0.0036365919691888847
HORVUMOREXr32HG0182210,0.0036341997233466827
HORVUMOREXr35HG0509200,0.0036279575775733973
HORVUMOREXr34HG0390270,0.0036218556502717546
HORVUMOREXr34HG0386920,0.00361342068441445
HORVUMOREXr31HG0038550,0.003611061458650511
HORVUMOREXr31HG0028320,0.0036055448808474467
HORVUMOREXr31HG0049580,0.0035982242377940567
HORVUMOREXr31HG0057440,0.003594173976016464
HORVUMOREXr35HG0448240,0.0035797256273508537
HORVUMOREXr34HG0357310,0.003571968685428146
HORVUMOREXr35HG0476040,0.003566642219811911
HORVUMOREXr34HG0387430,0.003563291964819655
HORVUMOREXr34HG0336460,0.003550718232472718
HORVUMOREXr33HG0263430,0.0035394439958326986
HORVUMOREXr34HG0333090,0.0035376115448161726
HORVUMOREXr32HG0137670,0.003533308698242763
HORVUMOREXr34HG0388270,0.0035170308114902582
HORVUMOREXr34HG0355460,0.0034974116942612455
HORVUMOREXr32HG0144860,0.0034936443768674506
HORVUMOREXr33HG0294710,0.0034637060576642397
HORVUMOREXr34HG0413910,0.0034623785526491702
HORVUMOREXr32HG0138530,0.0034620458917561337
HORVUMOREXr31HG0074750,0.0034576699996978276
HORVUMOREXr32HG0208800,0.0034557922526437324
HORVUMOREXr36HG0558040,0.003455287283868529
HORVUMOREXr33HG0266190,0.0034492430844693446
HORVUMOREXr32HG0211180,0.0034419398987665774
HORVUMOREXr34HG0337700,0.0034330860391492022
HORVUMOREXr33HG0218450,0.003417959114012774
HORVUMOREXr35HG0459090,0.0034130112075945363
HORVUMOREXr31HG0063360,0.003401887287745922
HORVUMOREXr35HG0447830,0.0034005973722378256
HORVUMOREXr36HG0551620,0.0033989463291800347
HORVUMOREXr35HG0493390,0.0033793561991478783
HORVUMOREXr32HG0160170,0.003374218877070234
HORVUMOREXr32HG0128240,0.0033636578416741257
HORVUMOREXr34HG0357360,0.003351148365036352
HORVUMOREXr32HG0185510,0.0033496565655514133
HORVUMOREXr33HG0272030,0.00334560185612645
HORVUMOREXr33HG0277770,0.00332453026654548
HORVUMOREXr35HG0474350,0.0033211458855657836
HORVUMOREXr34HG0336680,0.003316579829552211
HORVUMOREXr34HG0387600,0.003309703867853386
HORVUMOREXr32HG0212580,0.0032792550552403553
HORVUMOREXr32HG0143250,0.0032775130815571175
HORVUMOREXr31HG0093030,0.003276757813655422
HORVUMOREXr32HG0179950,0.003275056611164473
HORVUMOREXr32HG0112410,0.0032686594009283
HORVUMOREXr35HG0466190,0.003262406708236085
HORVUMOREXr34HG0362480,0.003262388556613587
HORVUMOREXr35HG0434150,0.003255459876600071
HORVUMOREXr31HG0013690,0.003242421315494539
HORVUMOREXr34HG0362140,0.0032414509973750683
HORVUMOREXr31HG0061880,0.003217195192919462
HORVUMOREXr31HG0005400,0.0032100684041506612
