GeneID,Total_Votes,MLP (Masked),Univariate (ANOVA),Lasso (L1),Random Forest,SVM,XGBoost
HORVUMOREXr35HG0426290,1,0,0,0,1,0,0
HORVUMOREXr35HG0456950,1,0,0,0,0,0,1
HORVUMOREXr35HG0458980,1,0,1,0,0,0,0
HORVUMOREXr35HG0469390,1,0,0,0,0,0,1
HORVUMOREXr35HG0470650,1,1,0,0,0,0,0
HORVUMOREXr35HG0476690,1,0,1,0,0,0,0
HORVUMOREXr35HG0478950,1,1,0,0,0,0,0
HORVUMOREXr35HG0484150,1,0,0,0,0,1,0
HORVUMOREXr35HG0488440,1,1,0,0,0,0,0
HORVUMOREXr35HG0493390,1,0,0,0,0,0,1
HORVUMOREXr35HG0507580,1,0,0,0,0,0,1
HORVUMOREXr35HG0509210,1,0,0,0,1,0,0
HORVUMOREXr35HG0510370,1,0,0,0,0,1,0
HORVUMOREXr35HG0511770,1,0,0,1,0,0,0
HORVUMOREXr35HG0515410,1,0,0,1,0,0,0
HORVUMOREXr35HG0517090,1,0,0,0,0,1,0
HORVUMOREXr35HG0526200,1,1,0,0,0,0,0
HORVUMOREXr36HG0539990,1,0,0,0,1,0,0
HORVUMOREXr36HG0553200,1,0,0,0,1,0,0
