train_loss,val_loss,Epoch
0.6299091875553131,0.5792475938796997,1
0.5258903205394745,0.5224071145057678,2
0.41484610736370087,0.4923768639564514,3
0.4015958905220032,0.47048965096473694,4
0.4085758179426193,0.4375925064086914,5
0.38883574306964874,0.4165252447128296,6
0.3680831491947174,0.39698731899261475,7
0.3741055428981781,0.379366010427475,8
0.3194405436515808,0.3559102416038513,9
0.2816951125860214,0.34632647037506104,10
0.2951171547174454,0.3294098675251007,11
0.2742556482553482,0.31647107005119324,12
0.2905106097459793,0.3076951801776886,13
0.25538869947195053,0.30152279138565063,14
0.2604144215583801,0.2927555739879608,15
0.2398175299167633,0.27953046560287476,16
0.2587137073278427,0.2625768780708313,17
0.2275814488530159,0.25428473949432373,18
0.24728234112262726,0.24639743566513062,19
0.20531006157398224,0.2446509748697281,20
0.20570901781320572,0.23888549208641052,21
0.20382997393608093,0.235397607088089,22
0.19779431819915771,0.23082131147384644,23
0.18397188931703568,0.22715304791927338,24
0.183078370988369,0.22245389223098755,25
0.19348857551813126,0.21836110949516296,26
0.2138766497373581,0.20869585871696472,27
0.18936319649219513,0.20496147871017456,28
0.1801690235733986,0.19781817495822906,29
0.17148956656455994,0.19223421812057495,30
0.16102942824363708,0.1911555528640747,31
0.14736849069595337,0.1939837783575058,32
0.14490678161382675,0.1902703493833542,33
0.17965169250965118,0.18643403053283691,34
0.1345413513481617,0.18509787321090698,35
0.13160166144371033,0.18177354335784912,36
0.15627143532037735,0.17851126194000244,37
0.12930795550346375,0.17129895091056824,38
0.12322373315691948,0.1661347895860672,39
0.12597062811255455,0.16476312279701233,40
0.13181743025779724,0.1633961945772171,41
0.11927584931254387,0.16036996245384216,42
0.13134532421827316,0.15849806368350983,43
0.1059807613492012,0.1565651148557663,44
0.13885187357664108,0.15115968883037567,45
0.12097490578889847,0.14865997433662415,46
0.10521981492638588,0.14567169547080994,47
0.09927556291222572,0.1449190378189087,48
0.09909041970968246,0.14531633257865906,49
0.10897936671972275,0.14319486916065216,50
0.11872201785445213,0.14224761724472046,51
0.11920854076743126,0.1390557587146759,52
0.10693631321191788,0.13954031467437744,53
0.09956040605902672,0.13871872425079346,54
0.09781843051314354,0.13918954133987427,55
0.10155558586120605,0.13761867582798004,56
0.10248113051056862,0.13655400276184082,57
0.1120106503367424,0.13508692383766174,58
0.21705590188503265,0.12929508090019226,59
0.09628700464963913,0.1332111358642578,60
0.10824357718229294,0.13242077827453613,61
0.10640289634466171,0.13138101994991302,62
0.10506555810570717,0.1323498785495758,63
0.08913414552807808,0.1324625313282013,64
0.08982966467738152,0.13563908636569977,65
0.0906023383140564,0.1359255611896515,66
0.08602695539593697,0.13323259353637695,67
0.1005583181977272,0.1326994001865387,68
0.0839577428996563,0.13209418952465057,69
0.09300703555345535,0.13071715831756592,70
0.08779725804924965,0.1302051544189453,71
0.08390145376324654,0.12859070301055908,72
0.10200484842061996,0.12657596170902252,73
0.08585185185074806,0.12573350965976715,74
0.0752178244292736,0.12594656646251678,75
0.07814330235123634,0.12705035507678986,76
0.09866098687052727,0.12453313916921616,77
0.07018100097775459,0.12746888399124146,78
0.08570877090096474,0.1256536990404129,79
0.10628125816583633,0.12400094419717789,80
0.0827016532421112,0.12405245006084442,81
0.09436382353305817,0.1236547976732254,82
0.1271936148405075,0.12219668924808502,83
0.21027445048093796,0.11474750936031342,84
0.07635793834924698,0.11657209694385529,85
0.11507977545261383,0.11644551903009415,86
0.09000220894813538,0.11847427487373352,87
0.14094360917806625,0.11473064124584198,88
0.08725744113326073,0.11697180569171906,89
0.08682939782738686,0.11610573530197144,90
0.08472747355699539,0.116742342710495,91
0.07936500385403633,0.11768240481615067,92
0.07754579558968544,0.11797316372394562,93
0.07920458912849426,0.11932344734668732,94
0.09905775636434555,0.11813166737556458,95
0.09922159090638161,0.12168759107589722,96
0.09934965893626213,0.12122678756713867,97
0.08021018281579018,0.12085779756307602,98
0.080828707665205,0.12238895893096924,99
0.09464124962687492,0.12297507375478745,100
