GeneID
TraesCS7D02G276300
TraesCS2B02G220100
TraesCS5A02G165700
TraesCS2A02G187200
TraesCS1A02G403300
TraesCS5D02G169900
TraesCS5D02G169600
TraesCS4D02G135000
TraesCS5D02G357600
TraesCS5B02G162800
TraesCS2D02G200700
TraesCS5D02G238300
TraesCS5B02G162600
TraesCS5A02G350600
TraesCS4A02G177500
TraesCS5A02G165400
TraesCS1B02G432700
TraesCS1D02G411300
TraesCS7A02G276400
TraesCS5A02G229300
TraesCS1D02G428200
TraesCS4B02G140300
TraesCS5B02G227900
TraesCS5A02G322500
TraesCS7A02G227100
TraesCS5D02G329200
TraesCS7B02G192500
TraesCS5B02G353200
TraesCS3A02G052700
TraesCS7D02G227300
TraesCS4A02G226900
TraesCS3D02G051800
TraesCS4B02G089500
TraesCS2A02G206200
TraesCS1B02G451100
TraesCS4A02G499500
TraesCS6B02G191500
TraesCS2B02G240000
TraesCS2D02G209900
TraesCS2A02G066800
TraesCS2D02G115200
TraesCS6D02G152700
TraesCS4D02G086400
TraesCS6B02G390600
TraesCS7D02G000300
TraesCS6D02G358900
TraesCS2A02G204800
TraesCS5D02G422800
TraesCS3B02G061700
TraesCS2A02G254600
TraesCS6A02G159800
TraesCS1D02G400100
TraesCS2A02G344600
TraesCS3A02G321900
TraesCS6D02G340700
TraesCS7A02G000400
TraesCS2D02G248400
TraesCS6A02G358100
TraesCS2B02G233400
TraesCS2D02G322900
TraesCS5A02G482800
TraesCS2A02G114400
TraesCS1A02G392000
TraesCS5D02G496400
TraesCS2D02G255100
TraesCS5A02G256900
TraesCS5B02G322900
TraesCS2A02G252600
TraesCS5B02G496000
TraesCS2A02G066700
TraesCS2D02G065100
TraesCS2A02G296400
TraesCS5B02G256400
TraesCS2B02G079300
TraesCS6B02G412100
TraesCS2A02G111300
TraesCS2B02G272300
TraesCS2B02G340300
TraesCS2B02G312600
TraesCS1B02G420100
TraesCS5B02G466700
TraesCS2D02G220800
TraesCS2B02G079200
TraesCSU02G077300
TraesCS2B02G342200
TraesCS5A02G414400
TraesCS3B02G344200
TraesCS2A02G247300
TraesCS3D02G309400
TraesCS5A02G424400
TraesCS2A02G215000
TraesCS5A02G457500
TraesCS3A02G081300
TraesCS5D02G468400
