GeneID,Total_Votes,MLP impact ranks,Annoname
HORVU.MOREX.r3.1HG0005750,6,6,HvXB3
HORVU.MOREX.r3.5HG0495580,6,1,HvSTI1
HORVU.MOREX.r3.1HG0080260,3,2,HvUbiA
HORVU.MOREX.r3.1HG0069750,2,3,HvCaM1
TraesCS5B02G296200,5,/,TaSTI1-B
TraesCS2A02G284200,5,/,TaDNAJ-A
TraesCS3A02G122100,5,/,TaDDX-A
TraesCS4B02G215900,1,1,TaVPS9-B
TraesCS2B02G364400,1,3,TaSTK-B
TraesCS5D02G286200,1,2,TaRPL32-D
